Rating,Title,Author,Reviews
4.9,"Oh, the Places You'll Go!",Dr. Seuss,21834
4.8,Where the Crawdads Sing,Delia Owens,87841
4.7,The Fault in Our Stars,John Green,50482
4.6,All the Light We Cannot See,Anthony Doerr,36348
4.5,The Silent Patient,Alex Michaelides,27536
4.4,Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,25624
4.3,The Handmaid's Tale,Margaret Atwood,29442
4.2,Fire and Fury: Inside the Trump White House,Michael Wolff,13677
4.1,The Girl on the Train,Paula Hawkins,79446
4.0,Gone Girl,Gillian Flynn,57271
3.9,The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,33844
3.8,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,47265
3.6,Go Set a Watchman: A Novel,Harper Lee,14982
3.3,The Casual Vacancy,J.K. Rowling,9372
